path,titleText,Category,Distillery,Bottler,Bottling serie,Stated Age,Cask Type,Strength,Size,Label,Image URL,TASTINGTAGS
"Scotland/Lowlands","1770 Glasgow Single Malt","Single Malt","The Glasgow Distillery Co.","Distillery Bottling","Triple Distilled","","Marriage of Ex-Bourbon & Virgin Oak Casks","46.0 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/2/0/8916/404538-big.jpg","Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Solvent/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty/ Oily/ Smokey/ Sweaty"
"Scotland/Lowlands","1770 Glasgow Single Malt","Single Malt","The Glasgow Distillery Co.","Distillery Bottling","Peated","","Virgin Oak & PX Sherry Cask Finish","46.0 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/2/0/8888/404535-big.jpg","Smokey/ Leathery/ Dried Fruit/ Medicinal/ Tobacco/ Chocolate/ Coal-gas/ Honey/ New Wood/ Nutty/ Oily/ Sherried/ Citric/ Cooked Fruit/ Mossy/ Rubbery/ Solvent/ Fragant/ Kippery/ Plastic/ Sandy/ Sweaty/ Toasted/ Vanilla/ Yeasty/ Cooked Mash/ Cooked Vegetable/ Fresh Fruit/ Green-House/ Hay-like/ Husky/ Leafy/ Malt Extract/ Old Wood/ Vegetative"
"Scotland/Lowlands","1770 Glasgow Single Malt","Single Malt","The Glasgow Distillery Co.","Distillery Bottling","The Original - Fresh & Fruity","","1st fill ex-bourbon, finish virgin oak","46.0 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/2/1/1644/404542-big.jpg","Vanilla/ Fresh Fruit/ Hay-like/ Honey/ Smokey/ Toasted/ Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Green-House/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Solvent/ Sweaty/ Tobacco/ Vegetative/ Yeasty"
"Scotland/Highlands","Aberfeldy 12-year-old","Single Malt","Aberfeldy","Distillery Bottling","Limited Bottling Batch No.: 2905","12 years old","","40.0 % Vol.","700 ml","New Label: Black and Gold","https://static.whiskybase.com/storage/whiskies/7/6/497/120954-big.jpg","Honey/ Fresh Fruit/ Chocolate/ Malt Extract/ Vanilla/ Citric/ New Wood/ Cooked Fruit/ Nutty/ Fragant/ Hay-like/ Smokey/ Coal-gas/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Green-House/ Husky/ Kippery/ Leafy/ Leathery/ Medicinal/ Mossy/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vegetative/ Yeasty"
"Scotland/Highlands","Aberfeldy 16-year-old","Single Malt","Aberfeldy","Distillery Bottling","","16 years old","Bourbon, 6 month finish on first fill Oloroso","40.0 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/7/1/595/120955-big.jpg","Citric/ Fresh Fruit/ Honey/ Malt Extract/ Vanilla/ Chocolate/ Fragant/ New Wood/ Sherried/ Tobacco/ Yeasty/ Solvent/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Green-House/ Hay-like/ Husky/ Kippery/ Leafy/ Leathery/ Medicinal/ Mossy/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Smokey/ Sweaty/ Toasted/ Vegetative"
"Scotland/Speyside","Aberlour 12-year-old","Single Malt","Aberlour","Distillery Bottling","Double Cask Matured","12 years old","American Oak Casks, Sherry Oak Casks","40.0 % Vol.","700 ml","New Label Design (2019-)","https://static.whiskybase.com/storage/whiskies/1/6/1049/442050-big.jpg","Dried Fruit/ Vanilla/ Chocolate/ Honey/ Fragant/ Leathery/ New Wood/ Sherried/ Cooked Fruit/ Nutty/ Tobacco/ Citric/ Coal-gas/ Cooked Mash/ Cooked Vegetable/ Fresh Fruit/ Green-House/ Hay-like/ Husky/ Kippery/ Leafy/ Malt Extract/ Medicinal/ Mossy/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Smokey/ Solvent/ Sweaty/ Toasted/ Vegetative/ Yeasty"
"Scotland/Speyside","Aberlour 12-year-old","Single Malt","Aberlour","Distillery Bottling","Non Chill-Filtered","12 years old","American Oak & Sherry Oak Casks","48.0 % Vol.","700 ml","New label","https://static.whiskybase.com/storage/whiskies/2/1/3952/374849-big.jpg","Chocolate/ Green-House/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Highlands","Aberfeldy 18-year-old","Single Malt","Aberfeldy","Distillery Bottling","","18 years old","Finished in Pauillac Bordeaux casks","43.0 % Vol.","700 ml 750 ml","","https://static.whiskybase.com/storage/whiskies/1/6/4376/280986-big.jpg","Honey/ Husky/ Solvent/ Vanilla/ Sherried/ Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Smokey/ Sweaty/ Toasted/ Tobacco/ Vegetative/ Yeasty"
"Scotland/Speyside","Aberlour 10-year-old","Single Malt","Aberlour","Distillery Bottling","Forest Reserve","10 years old","Bourbon & Sherry, French Limousin Oak Finish","40.0 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/1/3/4377/266645-big.jpg","Vanilla/ Honey/ Fresh Fruit/ Citric/ Chocolate/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Green-House/ Hay-like/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vegetative/ Yeasty"
"Scotland/Highlands","Aberfeldy 21-year-old","Single Malt","Aberfeldy","Distillery Bottling","Limited Release","21 years old","1st Fill Casks; Refill Hogsheads;Sherry Butts","40.0 % Vol.","700 ml","Individual Bottle Numbers","https://static.whiskybase.com/storage/whiskies/6/2/320/105059-big.jpg","Fresh Fruit/ Vanilla/ Honey/ Cooked Mash/ Malt Extract/ New Wood/ Nutty/ Citric/ Dried Fruit/ Tobacco/ Chocolate/ Coal-gas/ Cooked Fruit/ Cooked Vegetable/ Fragant/ Green-House/ Hay-like/ Husky/ Kippery/ Leafy/ Leathery/ Medicinal/ Mossy/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Vegetative/ Yeasty"
